entity_id	state	last_changed
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	228	2025-07-08T23:00:00.000Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	227	2025-07-08T23:01:01.902Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	219	2025-07-08T23:02:01.920Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	222	2025-07-08T23:03:02.363Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	220	2025-07-08T23:04:04.086Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	218	2025-07-08T23:05:04.122Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	227	2025-07-08T23:06:04.707Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	248	2025-07-08T23:07:05.524Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	214	2025-07-08T23:08:06.310Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	217	2025-07-08T23:09:07.671Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	218	2025-07-08T23:10:08.163Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	213	2025-07-08T23:12:08.329Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	217	2025-07-08T23:13:09.138Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	213	2025-07-08T23:14:11.216Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	215	2025-07-08T23:15:12.098Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	214	2025-07-08T23:16:12.207Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	215	2025-07-08T23:17:13.064Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	247	2025-07-08T23:18:13.196Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	208	2025-07-08T23:19:12.970Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	209	2025-07-08T23:20:13.261Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	317	2025-07-08T23:21:14.070Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	302	2025-07-08T23:22:14.075Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	300	2025-07-08T23:23:14.081Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	289	2025-07-08T23:24:14.045Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	295	2025-07-08T23:25:14.086Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	290	2025-07-08T23:26:14.070Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	286	2025-07-08T23:27:14.035Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	292	2025-07-08T23:28:14.291Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	296	2025-07-08T23:29:15.084Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	212	2025-07-08T23:31:16.101Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	199	2025-07-08T23:32:16.158Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	203	2025-07-08T23:33:16.108Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	205	2025-07-08T23:34:16.131Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	207	2025-07-08T23:35:16.102Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	238	2025-07-08T23:36:16.132Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	236	2025-07-08T23:37:16.245Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	194	2025-07-08T23:38:17.813Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	205	2025-07-08T23:39:18.087Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	193	2025-07-08T23:40:18.396Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	190	2025-07-08T23:41:19.079Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	195	2025-07-08T23:42:18.988Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	193	2025-07-08T23:43:19.132Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	224	2025-07-08T23:44:20.872Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	200	2025-07-08T23:45:22.155Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	185	2025-07-08T23:46:23.287Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	190	2025-07-08T23:47:24.450Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	189	2025-07-08T23:49:25.103Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	187	2025-07-08T23:50:25.404Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	192	2025-07-08T23:51:26.039Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	190	2025-07-08T23:52:26.115Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	191	2025-07-08T23:53:27.155Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	270	2025-07-08T23:54:27.075Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	269	2025-07-08T23:56:27.152Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	273	2025-07-08T23:57:27.035Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	274	2025-07-08T23:58:27.145Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	260	2025-07-08T23:59:27.084Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	262	2025-07-09T00:00:28.239Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	260	2025-07-09T00:01:29.467Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	264	2025-07-09T00:02:30.170Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	256	2025-07-09T00:03:30.942Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:04:31.451Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	177	2025-07-09T00:05:32.615Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:06:33.184Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T00:07:34.875Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	183	2025-07-09T00:08:35.610Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	182	2025-07-09T00:09:36.162Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:10:36.651Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	179	2025-07-09T00:11:37.067Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T00:12:37.161Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	181	2025-07-09T00:13:36.892Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	171	2025-07-09T00:14:37.004Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	178	2025-07-09T00:15:37.550Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:16:38.146Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T00:17:37.981Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	174	2025-07-09T00:18:38.045Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:19:38.048Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	177	2025-07-09T00:20:38.006Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	179	2025-07-09T00:21:38.047Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	181	2025-07-09T00:23:38.061Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	211	2025-07-09T00:24:38.064Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T00:25:37.998Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	174	2025-07-09T00:26:38.171Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	260	2025-07-09T00:27:38.048Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	257	2025-07-09T00:28:38.012Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	259	2025-07-09T00:29:38.085Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	261	2025-07-09T00:30:38.476Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	257	2025-07-09T00:31:39.039Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	255	2025-07-09T00:32:38.997Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	258	2025-07-09T00:33:39.228Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	261	2025-07-09T00:34:40.106Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	258	2025-07-09T00:35:39.827Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	256	2025-07-09T00:36:40.121Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	179	2025-07-09T00:37:41.822Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T00:38:42.183Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T00:39:42.067Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	169	2025-07-09T00:40:42.126Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	181	2025-07-09T00:41:42.126Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	177	2025-07-09T00:42:42.142Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	174	2025-07-09T00:44:42.126Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T00:45:42.208Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	177	2025-07-09T00:47:43.123Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	174	2025-07-09T00:50:43.123Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:51:43.463Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	170	2025-07-09T00:52:44.202Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	172	2025-07-09T00:54:46.005Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	171	2025-07-09T00:56:46.085Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T00:57:46.035Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T00:58:46.093Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	181	2025-07-09T00:59:46.052Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	276	2025-07-09T01:00:46.105Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	257	2025-07-09T01:01:46.020Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	255	2025-07-09T01:02:46.132Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	256	2025-07-09T01:04:46.130Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	257	2025-07-09T01:05:46.035Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	259	2025-07-09T01:06:46.087Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	257	2025-07-09T01:07:46.084Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	255	2025-07-09T01:08:46.128Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	259	2025-07-09T01:09:46.073Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	172	2025-07-09T01:10:46.151Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	186	2025-07-09T01:12:46.071Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	200	2025-07-09T01:13:45.958Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	171	2025-07-09T01:14:46.075Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	178	2025-07-09T01:15:46.048Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	171	2025-07-09T01:16:45.972Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	176	2025-07-09T01:17:46.057Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	200	2025-07-09T01:18:46.460Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	199	2025-07-09T01:19:47.357Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	172	2025-07-09T01:20:48.158Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T01:21:50.286Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T01:22:51.333Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	206	2025-07-09T01:23:52.130Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	165	2025-07-09T01:24:52.406Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T01:25:53.339Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T01:26:54.777Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	173	2025-07-09T01:28:57.088Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	174	2025-07-09T01:29:57.163Z
sensor.octopus_energy_electricity_21j0023364_1200037135231_current_demand	175	2025-07-09T01:30:57.112Z
